pnl,gross_pnl,taker_fee,maker_fee,turnover,benchmark_price,fee,ts_ms,long_gross_pnl,long_position_usd,long_turnover,short_gross_pnl,short_position_usd,short_turnover
-409.73920000000004,-393.98,0.0,0.0,393.98,3939.8,0.0,1735127509518,-409.73920000000004,393.98,393.98,-393.98,0.0,0.0
-819.4784000000001,-787.96,0.0,0.0,787.96,3939.8,0.0,1735127510521,-819.4784000000001,787.96,787.96,-787.96,0.0,0.0
-47.57652000000003,-0.31800000000002915,31.50568,0.0,787.642,3938.21,31.50568,1735127511523,0.0,0.0,0.0,-0.31800000000002915,787.642,787.642
-409.73920000000004,-393.98,0.0,0.0,393.98,3939.8,0.0,1735127512525,-409.73920000000004,393.98,393.98,-393.98,0.0,0.0
-819.4784000000001,-787.96,0.0,0.0,787.96,3939.8,0.0,1735127513524,-819.4784000000001,787.96,787.96,-787.96,0.0,0.0
-47.57652000000003,-0.31800000000002915,31.50568,0.0,787.642,3938.21,31.50568,1735127514526,0.0,0.0,0.0,-0.31800000000002915,787.642,787.642
-409.73920000000004,-393.98,0.0,0.0,393.98,3939.8,0.0,1735127515559,-409.73920000000004,393.98,393.98,-393.98,0.0,0.0
-819.4784000000001,-787.96,0.0,0.0,787.96,3939.8,0.0,1735127516528,-819.4784000000001,787.96,787.96,-787.96,0.0,0.0
-31.82368000000003,-0.31800000000002915,31.50568,0.0,787.642,3938.21,31.50568,1735127517537,0.0,0.0,0.0,-0.31800000000002915,787.642,787.642
-409.73920000000004,-393.98,0.0,0.0,393.98,3939.8,0.0,1735127518529,-409.73920000000004,393.98,393.98,-393.98,0.0,0.0
-819.4784000000001,-787.96,0.0,0.0,787.96,3939.8,0.0,1735127519531,-819.4784000000001,787.96,787.96,-787.96,0.0,0.0
-47.57652000000003,-0.31800000000002915,31.50568,0.0,787.642,3938.21,31.50568,1735127520534,0.0,0.0,0.0,-0.31800000000002915,787.642,787.642
-409.73920000000004,-393.98,0.0,0.0,393.98,3939.8,0.0,1735127521528,-409.73920000000004,393.98,393.98,-393.98,0.0,0.0
-819.4784000000001,-787.96,0.0,0.0,787.96,3939.8,0.0,1735127522538,-819.4784000000001,787.96,787.96,-787.96,0.0,0.0
-47.57652000000003,-0.31800000000002915,31.50568,0.0,787.642,3938.21,31.50568,1735127523537,0.0,0.0,0.0,-0.31800000000002915,787.642,787.642
-409.73920000000004,-393.98,0.0,0.0,393.98,3939.8,0.0,1735127524554,-409.73920000000004,393.98,393.98,-393.98,0.0,0.0
-819.4784000000001,-787.96,0.0,0.0,787.96,3939.8,0.0,1735127525554,-819.4784000000001,787.96,787.96,-787.96,0.0,0.0
-31.82368000000003,-0.31800000000002915,31.50568,0.0,787.642,3938.21,31.50568,1735127526557,0.0,0.0,0.0,-0.31800000000002915,787.642,787.642
-409.73920000000004,-393.98,0.0,0.0,393.98,3939.8,0.0,1735127527555,-409.73920000000004,393.98,393.98,-393.98,0.0,0.0
-819.4784000000001,-787.96,0.0,0.0,787.96,3939.8,0.0,1735127528559,-819.4784000000001,787.96,787.96,-787.96,0.0,0.0
-47.57652000000003,-0.31800000000002915,31.50568,0.0,787.642,3938.21,31.50568,1735127529558,0.0,0.0,0.0,-0.31800000000002915,787.642,787.642
-409.73920000000004,-393.98,0.0,0.0,393.98,3939.8,0.0,1735127530559,-409.73920000000004,393.98,393.98,-393.98,0.0,0.0
-819.4784000000001,-787.96,0.0,0.0,787.96,3939.8,0.0,1735127531563,-819.4784000000001,787.96,787.96,-787.96,0.0,0.0
-47.57652000000003,-0.31800000000002915,31.50568,0.0,787.642,3938.21,31.50568,1735127532562,0.0,0.0,0.0,-0.31800000000002915,787.642,787.642
-409.73920000000004,-393.98,0.0,0.0,393.98,3939.8,0.0,1735127533568,-409.73920000000004,393.98,393.98,-393.98,0.0,0.0
-819.4784000000001,-787.96,0.0,0.0,787.96,3939.8,0.0,1735127534543,-819.4784000000001,787.96,787.96,-787.96,0.0,0.0
